Week,Alpha (B.1.1.7),Delta (B.1.617.2),Gamma (P.1),Beta (B.1.351),Epsilon (B.1.427/429),Eta (B.1.525),Iota (B.1.526),Kappa (B.1.617.1),Zeta (P.2),Mu (B.1.621),Omicron (BA.1/B.1.1.529),Omicron (BA.2 sublineage),Omicron (BA.2.75),Omicron (BA.2.12.1),Omicron (BA.3),Omicron (BA.4),Omicron (BA.5),Other
Jul-11-2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Jan-20-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mar-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Mar-09-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Mar-16-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
Mar-23-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
Mar-30-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
Apr-06-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145
Apr-13-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234
Apr-20-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249
Apr-27-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,608
May-04-2020,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,213
May-11-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198
May-18-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
May-25-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164
Jun-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191
Jun-08-2020,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,205
Jun-15-2020,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,330
Jun-22-2020,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,358
Jun-29-2020,0,2,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,283
Jul-06-2020,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,297
Jul-13-2020,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,212
Jul-20-2020,0,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,147
